CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
314773184,48,BRONX,12/31/19,18:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,105,FELONY,,ROBBERY,,PATROL BORO BRONX,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",STREET,12/31/19,,UNKNOWN,UNKNOWN,U,,45-64,WHITE HISPANIC,F,1016990,244612,40.83802627,-73.88168119,"(40.838026269000075, -73.88168118799997)"
289837961,25,MANHATTAN,12/30/19,20:30:00,12/31/19,10:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO MAN NORTH,338,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - APT. HOUSE,12/31/19,,,,,,25-44,WHITE HISPANIC,F,999296,230862,40.80033426,-73.94565697,"(40.800334261000046, -73.94565697199994)"
535744284,77,BROOKLYN,12/24/19,16:55:00,12/24/19,17:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,106,FELONY,,FELONY ASSAULT,,PATROL BORO BKLYN NORTH,109,"ASSAULT 2,1,UNCLASSIFIED",STREET,12/31/19,,UNKNOWN,BLACK,M,,18-24,WHITE,M,1001068,183317,40.6698318,-73.93937555,"(40.66983179600004, -73.93937555099996)"
895678119,52,BRONX,12/30/19,19:32:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO BRONX,333,"LARCENY,PETIT FROM STORE-SHOPL",CHAIN STORE,12/30/19,,25-44,WHITE,F,,UNKNOWN,UNKNOWN,D,1009690,257590,40.87367104,-73.90801365,"(40.87367103500002, -73.90801364899994)"
299841674,18,MANHATTAN,12/30/19,15:30:00,12/30/19,16:50:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,,PETIT LARCENY,,PATROL BORO MAN SOUTH,301,"LARCENY,PETIT BY ACQUIRING LOS",STREET,12/30/19,,,,,,25-44,WHITE HISPANIC,M,985766,216503,40.76093528,-73.99452907,"(40.76093528000007, -73.99452906599998)"
136697381,94,BROOKLYN,12/28/19,13:00:00,12/29/19,8:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO BKLYN NORTH,349,"LARCENY,PETIT OF LICENSE PLATE",STREET,12/30/19,,,,,,UNKNOWN,UNKNOWN,D,997964,205703,40.73128148,-73.95051933,"(40.73128148300003, -73.95051933399996)"
628084657,69,BROOKLYN,12/22/19,16:30:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,344,MISDEMEANOR,FRONT OF,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BKLYN SOUTH,101,ASSAULT 3,STREET,12/30/19,,25-44,BLACK,M,,25-44,BLACK,M,1010537,168507,40.62915853,-73.90529923,"(40.629158526000026, -73.90529923099997)"
487138011,43,BRONX,12/29/19,17:20:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,105,FELONY,FRONT OF,ROBBERY,,PATROL BORO BRONX,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",STREET,12/29/19,,UNKNOWN,WHITE HISPANIC,M,,25-44,BLACK,M,1018876,241924,40.8306413,-73.87487919,"(40.83064129700006, -73.87487918899996)"
227601821,18,MANHATTAN,12/29/19,12:30:00,12/29/19,13:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,,SEX CRIMES,,PATROL BORO MAN SOUTH,175,"SEXUAL ABUSE 3,2",STREET,12/29/19,,UNKNOWN,WHITE,M,,25-44,WHITE,F,988353,217918,40.76481827,-73.98518977,"(40.764818269000045, -73.98518977299993)"
536304115,13,MANHATTAN,12/28/19,15:05:00,12/28/19,15:10:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO MAN SOUTH,637,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - APT. HOUSE,12/28/19,,65+,WHITE,F,,18-24,ASIAN / PACIFIC ISLANDER,F,985850,210155,40.74351161,-73.99422735,"(40.74351160900005, -73.99422735499998)"
